Character_ID,Name,Status,Gender,Age,Height,Weight,Race,Affiliation,Is Hashira,Breathing_Style,use Sward,Special_Abilities,First_Appearance,Last_Appearance,Allies,Enemies,Personality,Voice_Actor_Japanese,Voice_Actor_English,Role
1,Tanjiro Kamado,Alive,Male,16,165 cm,61 kg,Human,Demon Slayer Corps,no,"Water Breathing, Hinokami kagura",yes,"Enhanced smell,Demon Slayer Mark,Adaptive fighting style",Manga Chapter 1,Manga Chapter 200,"Nezuko Kamado,Zenitsu Agatsuma,Inosuke Hashibira,Hashira","Muzan Kibutsuji,Demons","Kind,Empathetic,Determined",Natsuki Hanae,Zach Aguilar,Protagonist
2,Nezuko Kamado,Alive,Female,14,153 cm,45 kg,Hybrid,Demon Slayer Corps,no,Not have Breathing,no,"Enhanced smell,Demon Slayer Mark,Adaptive fighting style",Manga Chapter 1,Manga Chapter 201,"Tanjiro Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira","Muzan Kibutsuji, Demons","Protective, Compassionate, Strong-willed",Akari Kito,Abby Trott,Deuteragonist
3,Zenitsu Agatsuma,Alive,Male,16,164 cm,53 kg,Human,Demon Slayer Corps,no,Thunder Breathing,yes,"Super hearing, Enhanced speed and reflexes, Lightning-fast attack",Manga Chapter 1,Manga Chapter 202,"Tanjiro Kamado, Nezuko Kamado, Inosuke Hashibira",Demons,"Cowardly, Timid, Loyal, Compassionate",Hiro Shimono,Aleks Le,Tertiary Protagonist
4,Inosuke Hashibira,Alive,Male,15,165 cm,55 kg,Human,Demon Slayer Corps,no,Beast Breathing,yes,"Enhanced smell, Superhuman strength and agility, Adaptive combat style",Manga Chapter 1,Manga Chapter 200,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma",Demons,"Hot-headed, Reckless, Brave, Loyal",Yoshitsugu Matsuoka,Bryce Papenbrook,Tertiary Protagonist
5,Kanao Tsuyuri,Alive,Female,16,158 cm,45 kg,Human,Demon Slayer Corps,no,Flower Breathing,yes,"Enhanced reflexes, Exceptional swordsmanship, Calm demeanor",Manga Chapter 23,Manga Chapter 201,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira",Demons,"Quiet, Observant, Disciplined, Loyal",Nao Toyama,Brianna Knickerbocker,Supporting Protagonist
6,Genya Shinazugawa,Alive,Male,17,170 cm,60 kg,Human,Demon Slayer Corps,no,Not have Breathing,yes,"Ability to consume demon flesh for temporary powers, Enhanced combat skills",Manga Chapter 30,Manga Chapter 202,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Hot-headed, Determined, Loyal, Impulsive",Kensho Ono,Zach Aguilar,
7,Giyu Tomioka,Alive,Male,20,176 cm,65 kg,Human,Demon Slayer Corps,yes,Water Breathing,yes,"Exceptional swordsmanship, Enhanced reflexes, Calm and strategic mind",Manga Chapter 1,Manga Chapter 203,"Tanjiro Kamado, Hashira",Demons,"Calm, Stoic, Serious, Loyal",Takahiro Sakurai,Johnny Yong Bosch,
8,Mitsuri Kanroji,Alive,Female,19,168 cm,54 kg,Human,Demon Slayer Corps,yes,Love Breathing,yes,"Superhuman strength, Enhanced agility, Exceptional swordsmanship",Manga Chapter 45,Manga Chapter 204,"Tanjiro Kamado, Nezuko Kamado, Zenitsu Agatsuma, Inosuke Hashibira, Hashira",Demons,"Cheerful, Loving, Passionate, Loyal",Romi Park,Cherami Leigh,Supporting Protagonist
9,Obanai Iguro,Deceased,Male,21,165 cm,58 kg,Human,Demon Slayer Corps,yes,Serpent Breathing,yes,"Enhanced agility, Exceptional swordsmanship, Serpent-like combat style",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Mitsuri Kanroji, Hashira",Demons,"Serious, Loyal, Disciplined, Protective",Akira Ishida,Billy Kametz,Supporting Protagonist
10,Sanemi Shinazugawa,Alive,Male,21,177 cm,69 kg,Human,Demon Slayer Corps,yes,Wind Breathing,yes,"Exceptional swordsmanship, High endurance, Superhuman agility",Manga Chapter 30,Manga Chapter 202,"Tanjiro Kamado, Hashira",Demons,"Hot-headed, Stubborn, Loyal, Protective",Toshihiko Seki,Bryce Papenbrook,Supporting Protagonist
11,Gyomei Himejima,Deceased,Male,25,208 cm,150 kg,Human,Demon Slayer Corps,yes,Stone Breathing,yes,"Exceptional strength, Enhanced perception, Tremendous combat skills",Manga Chapter 45,Manga Chapter 205,"Tanjiro Kamado, Hashira",Demons,"Gentle, Compassionate, Devout, Loyal",Hiroshi Shirokuma,Patrick Seitz,Supporting Protagonist
