Character,Power_Level,Ben_10_Series,cluster
YOUNG MAX,39.5,Ben 10: Classic,1
VILGAX,80.0,Ben 10: Classic,1
BEN TENNYSON,4.0,Ben 10: Classic,1
GWEN TENNYSON,7.0,Ben 10: Classic,1
GRANDPA MAX,17.2,Ben 10: Classic,1
HEATBLAST,100.0,Ben 10: Classic,1
DIAMONDHEAD,108.0,Ben 10: Classic,1
FOURARMS,115.0,Ben 10: Classic,1
GHOSTFREAK,75.0,Ben 10: Classic,1
RIPJAWS,98.7,Ben 10: Classic,1
XLR8,62.5,Ben 10: Classic,1
WILDMUTT,40.0,Ben 10: Classic,1
STINKFLY,42.5,Ben 10: Classic,1
GREYMATTER,0.075,Ben 10: Classic,1
UPGRADE,87.0,Ben 10: Classic,1
WAYBIG,2500.0,Ben 10: Classic,2
GWEN (MAGIC),20.5,Ben 10: Classic,1
VILGAX (ENHANCEMENTS),175.0,Ben 10: Classic,1
KEVIN ELEVEN,145.0,Ben 10: Classic,1
UPCHUCK,32.5,Ben 10: Classic,1
CANNONBOLT,98.9,Ben 10: Classic,1
WILDVINE,50.0,Ben 10: Classic,1
HEX,112.0,Ben 10: Classic,1
CHARMCASTER,30.0,Ben 10: Classic,1
KAI GREEN,2.1,Ben 10: Classic,1
GWEN,165.0,Ben 10: Alien Force,1
KEVIN,232.0,Ben 10: Alien Force,1
SWAMPFIRE,250.0,Ben 10: Alien Force,1
HUMUNGOUSAUR,312.0,Ben 10: Alien Force,1
CHROMOSTONE,282.0,Ben 10: Alien Force,1
GOOP,49.5,Ben 10: Alien Force,1
BIG CHILL,132.0,Ben 10: Alien Force,1
ECHOECHO,65.5,Ben 10: Alien Force,1
BRAINSTORM,80.0,Ben 10: Alien Force,1
JETRAY,145.0,Ben 10: Alien Force,1
SPIDERMONKEY,92.0,Ben 10: Alien Force,1
ALIEN X,1000.0,Ben 10: Alien Force,2
GWEN FULL ANODITE,2150.0,Ben 10: Alien Force,2
DNALIEN,50.0,Ben 10: Alien Force,1
HIGHBREED,330.0,Ben 10: Alien Force,1
MUTATED KEVIN,210.0,Ben 10: Alien Force,1
ULTIMOS,280.0,Ben 10: Alien Force,1
VILGAX (9 HEROES),345.0,Ben 10: Alien Force,1
VILGAX (10 HEROES),550.0,Ben 10: Alien Force,1
DIAMONDHEAD,600.0,Ben 10: Alien Force,1
UPCHUCK,85.9,Ben 10: Alien Force,1
CANNONBOLT,250.0,Ben 10: Alien Force,1
WAYBIG,5000.0,Ben 10: Alien Force,0
RATH,620.0,Ben 10: Alien Force,1
CHARMCASTER,180.0,Ben 10: Alien Force,1
HEX,375.0,Ben 10: Alien Force,1
MICHAEL MORNINGSTAR,195.0,Ben 10: Alien Force,1
DARKSTAR,990.0, WHEN WEAK = 80 - 160,2
ULTIMATE HUMONGOUSAUR,1805.0,Ben 10: Alien Force,2
ULTIMATE SWAMPFIRE,1550.0,Ben 10: Ultimate Alien,2
ULTIMATE BIG CHILL,1200.0,Ben 10: Ultimate Alien,2
ULTIMATE SPIDERMONKEY,1050.0,Ben 10: Ultimate Alien,2
ULTIMATE ECHOECHO,1600.0,Ben 10: Ultimate Alien,2
ULTIMATE CANNONBOLT,1272.0,Ben 10: Ultimate Alien,2
ULTIMATE WILDMUTT,800.0,Ben 10: Ultimate Alien,1
TERRASPIN,200.0,Ben 10: Ultimate Alien,1
WATERHAZARD,265.0,Ben 10: Ultimate Alien,1
NRG,140.0, PURE ENRGY = 1160,1
ARMODRILLO,650.0,Ben 10: Ultimate Alien,1
AMPFIBIAN,81.9,Ben 10: Ultimate Alien,1
PARADOX (CAN’T INTERFERE),4950.0,Ben 10: Ultimate Alien,0
BEN TEN THOUSAND,35.2,Ben 10: Ultimate Alien,1
EON'S MINIONS,20.0,Ben 10: Ultimate Alien,1
EON,3850.0,Ben 10: Ultimate Alien,0
ULTIMATE BEN,4000.0,Ben 10: Ultimate Alien,0
WAYBIG,6000.0,Ben 10: Ultimate Alien,0
AGGREGOR,500.0,Ben 10: Ultimate Alien,1
HUMUNGOSAUR (ANGRY),900.0,Ben 10: Ultimate Alien,2
ULTIMATE AGGREGOR,2500.0,Ben 10: Ultimate Alien,2
ULTIMATE KEVIN,3000.0,Ben 10: Ultimate Alien,0
VILGAX W/ ASCALON,1100.0,Ben 10: Ultimate Alien,2
VILGAX DAAGON’S HEROLD,1800.0,Ben 10: Ultimate Alien,2
DIAGON,12000.0,Ben 10: Ultimate Alien,3
ULTIMATE WAYBIG,7550.0,Ben 10: Ultimate Alien,3
ARTIGUANA,418.0,Ben 10: Ultimate Alien,1
ULTIMATE ARTIGUANA,985.0,Ben 10: Ultimate Alien,2
ASTRODACTYLE,38.0,Ben 10: Omniverse,1
ATOMIX,1889.0,Ben 10: Omniverse,2
BALL WEEVIL,12.0,Ben 10: Omniverse,1
BLOXX (INDESTRUCTIBLE),59.5,Ben 10: Omniverse,1
BULLFRAG,155.0,Ben 10: Omniverse,1
BUZZSHOCK,84.7,Ben 10: Omniverse,1
CRASHHOPPER,133.0,Ben 10: Omniverse,1
FEEDBACK,390.0,Ben 10: Omniverse,1
GRAVATTACK,425.0,Ben 10: Omniverse,1
ULTIMATE GRAVATTACK,1560.0,Ben 10: Omniverse,2
GUTROT,127.0,Ben 10: Omniverse,1
KICKIN HAWK,520.0,Ben 10: Omniverse,1
TOEPICK,12.5, FACE = 1340,1
WHAMPIRE,336.0,Ben 10: Omniverse,1
FOURMUNGOUSAUR,2177.0,Ben 10: Omniverse,2
ATOMIC X,1080.0,Ben 10: Omniverse,2
